"customer_reference","company_name","Banner","Cluster","Cluster Size","street","suburb","postcode","state","value","cash_on_delivery","code","description","uom_qty","qty","unit_of_Measure"
"62024","Woolworths NZ Moorhouse Ave (9169)","Woolworths","NO CLUSTER","NO SIZE","Moorhouse Central Shopping Centre, 347 Moorhouse Ave","Christchurch","8011","Canterbury","77.04","No","GCH300G","Grated Cheese 300g","1","12","Carton"
"62024","Woolworths NZ Moorhouse Ave (9169)","Woolworths","NO CLUSTER","NO SIZE","Moorhouse Central Shopping Centre, 347 Moorhouse Ave","Christchurch","8011","Canterbury","66.72","No","CRC240G","Cream Cheese Tub 240g","1","12","Carton"
"62025","Woolworths NZ Moorhouse eStore (9231)","Woolworths","NO CLUSTER","NO SIZE","Cnr Moorhouse Ave and Madras Street","Christchurch","8011","Canterbury","77.04","No","GCH300G","Grated Cheese 300g","1","12","Carton"
"62025","Woolworths NZ Moorhouse eStore (9231)","Woolworths","NO CLUSTER","NO SIZE","Cnr Moorhouse Ave and Madras Street","Christchurch","8011","Canterbury","66.72","No","CRC240G","Cream Cheese Tub 240g","1","12","Carton"
"62025","Woolworths NZ Moorhouse eStore (9231)","Woolworths","NO CLUSTER","NO SIZE","Cnr Moorhouse Ave and Madras Street","Christchurch","8011","Canterbury","63.78","No","MOZ220G","Mozzarella Tub 220g","1","12","Carton"
"62026","Woolworths NZ Church Corner (9176)","Woolworths","NO CLUSTER","NO SIZE","Cnr Riccarton Road & Hansons Lane","Riccarton","8041","Christchurch","77.04","No","GCH300G","Grated Cheese 300g","1","12","Carton"
"62026","Woolworths NZ Church Corner (9176)","Woolworths","NO CLUSTER","NO SIZE","Cnr Riccarton Road & Hansons Lane","Riccarton","8041","Christchurch","66.72","No","CRC240G","Cream Cheese Tub 240g","1","12","Carton"
"62027","New World Feilding 406001","New World  (NI)","Heartland Households","Medium","Fergusson Street","Feilding","4702","Manawatu","79","No","GCH300G","Grated Cheese 300g","1","12","Carton"
"62027","New World Feilding 406001","New World  (NI)","Heartland Households","Medium","Fergusson Street","Feilding","4702","Manawatu","67.55","No","CHD220G","Cheddar Tub 220g","1","12","Carton"
"62028","New World Willis St Metro 420801","New World  (NI)","Urban Upscale","Small","68-70 Willis Street","Wellington Central","6011","Wellington","67.55","No","CHD220G","Cheddar Tub 220g","1","12","Carton"
"62028","New World Willis St Metro 420801","New World  (NI)","Urban Upscale","Small","68-70 Willis Street","Wellington Central","6011","Wellington","67.55","No","MOZ220G","Mozzarella Tub 220g","1","12","Carton"
"62028","New World Willis St Metro 420801","New World  (NI)","Urban Upscale","Small","68-70 Willis Street","Wellington Central","6011","Wellington","57.68","No","SOC240G","Sour Cream Tub 240g","1","12","Carton"
"62029","Pak n Save New Plymouth 508601","Pak n Save  (NI)","Trolley Fillers","Large","53 Leach St","New Plymouth","4310","Taranaki","69.22","No","GCH300G","Grated Cheese 300g","1","12","Carton"
"62029","Pak n Save New Plymouth 508601","Pak n Save  (NI)","Trolley Fillers","Large","53 Leach St","New Plymouth","4310","Taranaki","53.7","No","CHD220G","Cheddar Tub 220g","1","12","Carton"
"62030","New World Miramar 407701 /","New World  (NI)","Urban Upscale","Large","48 Miramar Avenue","Miramar","6022","Wellington","78.96","No","GCH300G","Grated Cheese 300g","1","12","Carton"
"62030","New World Miramar 407701 /","New World  (NI)","Urban Upscale","Large","48 Miramar Avenue","Miramar","6022","Wellington","66.35","No","CRC240G","Cream Cheese Tub 240g","1","12","Carton"
"62030","New World Miramar 407701 /","New World  (NI)","Urban Upscale","Large","48 Miramar Avenue","Miramar","6022","Wellington","57.68","No","SOC240G","Sour Cream Tub 240g","1","12","Carton"
"62031","New World Long Bay (417901)","New World  (NI)","Urban Upscale","Medium","55b Glenvar Ridge Road","Long Bay","630","Auckland","67.55","No","CHD220G","Cheddar Tub 220g","1","12","Carton"
"62031","New World Long Bay (417901)","New World  (NI)","Urban Upscale","Medium","55b Glenvar Ridge Road","Long Bay","630","Auckland","67.55","No","MOZ220G","Mozzarella Tub 220g","1","12","Carton"
